LR Clip Loss
0.04 0.002 76.98273468017578
0.04 0.004 76.98214721679688
0.04 0.005 76.98240661621094
0.04 0.008 76.9824447631836
0.04 0.01 76.98245239257812
0.04 0.02 76.9830551147461
0.04 0.04 76.9826431274414
0.04 0.05 76.98748016357422
0.04 0.08 76.98286437988281
0.04 0.1 76.98286437988281
0.04 0.2 76.9830551147461
0.04 0.4 76.98573303222656
0.04 0.5 76.98652648925781
0.04 0.8 77.00366973876953
0.04 1 76.98792266845703
0.04 2 77.00701141357422
0.04 4 77.05560302734375
0.04 5 77.04286193847656
0.04 8 77.23016357421875
0.04 10 77.09593963623047
0.04 20 77.34349060058594
0.04 40 77.97239685058594
0.04 50 79.68688201904297
0.04 80 82.44538116455078
0.05 0.0001 76.98504638671875
0.05 0.0002 76.98413848876953
0.05 0.0004 76.9826431274414
0.05 0.0005 76.98320007324219
0.05 0.0008 76.98375701904297
0.05 0.001 76.98306274414062
0.05 0.002 76.9832534790039
0.05 0.004 76.98910522460938
0.05 0.005 76.98626708984375
0.05 0.008 76.9820785522461
0.05 0.01 76.98306274414062
0.05 0.02 76.98297119140625
0.05 0.04 76.98206329345703
0.05 0.05 76.98306274414062
0.05 0.08 76.9832992553711
0.05 0.1 76.983154296875
0.05 0.2 76.98399353027344
0.05 0.4 76.98655700683594
0.05 0.5 76.98816680908203
0.05 0.8 76.992431640625
0.05 1 77.00318908691406
0.05 2 76.99934387207031
0.05 4 77.02034759521484
0.05 5 77.0624008178711
0.05 8 77.3162612915039
0.05 10 77.13188171386719
0.05 20 77.5555419921875
0.05 40 77.91596221923828
0.05 50 77.88362884521484
0.05 80 81.88834381103516
0.08 0.0001 76.98592376708984
0.08 0.0002 76.98497772216797
0.08 0.0004 76.98341369628906
0.08 0.0005 76.98259735107422
0.08 0.0008 76.9913101196289
0.08 0.001 76.98552703857422
0.08 0.002 76.98456573486328
0.08 0.004 76.99061584472656
0.08 0.005 76.98343658447266
0.08 0.008 76.98934936523438
0.08 0.01 76.98502349853516
0.08 0.02 76.98421478271484
0.08 0.04 76.9829330444336
0.08 0.05 76.98458862304688
0.08 0.08 76.98234558105469
0.08 0.1 76.98314666748047
0.08 0.2 76.98495483398438
0.08 0.4 76.99702453613281
0.08 0.5 76.99200439453125
0.08 0.8 77.0090560913086
0.08 1 77.00414276123047
0.08 2 77.07149505615234
0.08 4 77.1424560546875
0.08 5 77.12818908691406
0.08 8 77.08209228515625
0.08 10 77.18902587890625
