LR Clip Loss
4 1 93.1936264038086
4 2 313.6580810546875
4 4 98.04967498779297
4 5 209.89910888671875
4 8 1136.2393798828125
4 10 6355.14111328125
4 20 10817.71875
4 40 51238.796875
4 50 109314.8359375
4 80 353104.0625
5 0.0001 3101.9658203125
5 0.0002 2545.92578125
5 0.0004 1607.990478515625
5 0.0005 1220.975830078125
5 0.0008 416.4563903808594
5 0.001 164.45323181152344
5 0.002 87.55815887451172
5 0.004 84.70913696289062
5 0.005 84.70868682861328
5 0.008 84.71343994140625
5 0.01 84.7093505859375
5 0.02 84.71208190917969
5 0.04 84.7926254272461
5 0.05 84.74742889404297
5 0.08 84.7519302368164
5 0.1 84.7532958984375
5 0.2 87.96414947509766
5 0.4 88.33077239990234
5 0.5 85.92724609375
5 0.8 122.62489318847656
5 1 111.63751220703125
5 2 458.4417419433594
5 4 775.8298950195312
5 5 1798.0947265625
5 8 1083.498779296875
5 10 6999.5869140625
5 20 7866.45654296875
5 40 102869.40625
5 50 10359.0498046875
5 80 198316.0625
8 0.0001 2762.202392578125
8 0.0002 1953.4713134765625
8 0.0004 787.4364624023438
8 0.0005 416.80059814453125
8 0.0008 111.27256774902344
8 0.001 97.69184112548828
8 0.002 84.70865631103516
8 0.004 84.70862579345703
8 0.005 84.70862579345703
8 0.008 84.70889282226562
8 0.01 84.71280670166016
8 0.02 84.71551513671875
8 0.04 84.73081970214844
8 0.05 84.76179504394531
8 0.08 85.13502502441406
8 0.1 85.78319549560547
8 0.2 87.51331329345703
8 0.4 87.10533142089844
8 0.5 86.44649505615234
8 0.8 87.9236831665039
8 1 119.3621597290039
8 2 180.611572265625
8 4 337.4169921875
8 5 1069.952880859375
8 8 4476.646484375
8 10 19128.771484375
8 20 112929.7578125
8 40 404545.71875
8 50 285271.6875
8 80 473166.5625
10 0.0001 2546.739990234375
10 0.0002 1611.2667236328125
10 0.0004 416.7567138671875
10 0.0005 164.06442260742188
10 0.0008 97.61676788330078
10 0.001 87.52926635742188
10 0.002 84.70850372314453
10 0.004 84.71204376220703
10 0.005 84.71870422363281
10 0.008 84.7158432006836
10 0.01 84.72840118408203
10 0.02 84.72361755371094
10 0.04 84.8448486328125
10 0.05 85.09439086914062
10 0.08 85.02111053466797
10 0.1 87.35726928710938
10 0.2 88.71849060058594
10 0.4 121.79795837402344
10 0.5 103.37004852294922
10 0.8 118.83287811279297
10 1 97.22590637207031
10 2 571.4160766601562
10 4 567.6289672851562
10 5 7758.2666015625
10 8 10144.0908203125
10 10 2575.310302734375
10 20 6625.39697265625
10 40 293905.59375
10 50 176198.546875
10 80 760782.625
20 0.0001 1609.274658203125
20 0.0002 416.9935302734375
20 0.0004 97.8461685180664
20 0.0005 87.66284942626953
20 0.0008 84.70856475830078
20 0.001 84.70950317382812
20 0.002 84.71018981933594
20 0.004 84.7254867553711
20 0.005 84.73423767089844
20 0.008 84.76150512695312
20 0.01 84.71369934082031
20 0.02 84.84699249267578
20 0.04 85.23494720458984
20 0.05 87.73282623291016
20 0.08 85.67913055419922
20 0.1 88.61244201660156
20 0.2 107.50585174560547
20 0.4 151.42181396484375
20 0.5 335.052490234375
20 0.8 519.281494140625
20 1 293.4823913574219
20 2 1473.3131103515625
20 4 23867.072265625
20 5 1808.0089111328125
20 8 5230.36767578125
20 10 12506.294921875
20 20 130983.046875
20 40 902225.4375
20 50 573692.625
20 80 693049.0625
40 0.0001 416.21240234375
40 0.0002 97.77325439453125
40 0.0004 84.70881652832031
40 0.0005 84.71006774902344
40 0.0008 84.71109771728516
40 0.001 84.70870208740234
40 0.002 84.7094497680664
40 0.004 84.71907806396484
40 0.005 84.71025848388672
40 0.008 84.72401428222656
40 0.01 84.73448181152344
40 0.02 84.867431640625
40 0.04 87.84085083007812
40 0.05 95.90156555175781
40 0.08 99.49568176269531
40 0.1 89.9228744506836
